"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:R68.3","Clubbing of fingers","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:R25.2","Other specified abnormal findings (R25)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R68.82","Decreased libido","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:R49.0","Other specified abnormal findings (R49)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R68.81","Early satiety","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:R60.9","Other specified abnormal findings (R60)","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:R59.9","Other specified abnormal findings (R59)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R62.51","Failure to thrive in child","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R63.3","Symptoms concerning food and fluid intake (R63.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R60.1","Other specified abnormal findings (R60)","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:R59.1","Other specified abnormal findings (R59)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R61","Other specified abnormal findings (R61)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R68.0","Hypothermia, not associated with low environmental temperature","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:R99","Other specified abnormal findings (R99)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R69","Other specified abnormal findings (R69)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R60.0","Other specified abnormal findings (R60)","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:R59.0","Other specified abnormal findings (R59)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R29.890","Other specified abnormal findings (R29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R68.89","Other general symptoms","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:R62.59","Other lack of expected normal physiological development in childhood","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R63.8","Other symptoms concerning food and fluid intake","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R29.898","Other specified abnormal findings (R29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R49.8","Other specified abnormal findings (R49)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R52","Other specified abnormal findings (R52)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R63.1","Polydipsia","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R63.2","Polyphagia","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R29.6","Other specified abnormal findings (R29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R62.52","Short stature (child)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R65.11","Other specified abnormal findings (R65)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R65.10","Other specified abnormal findings (R65)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R63.6","Underweight","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R62.50","Unspecified lack of expected normal physiological development in childhood","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R29.91","Other specified abnormal findings (R29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R49.9","Other specified abnormal findings (R49)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G91.2","Diseases of the nervous system (G91.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G37.3","Diseases of the nervous system (G37.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G12.21","Diseases of the nervous system (G12.21)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.4","Disorders of autonomic nervous system (G90.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.2","Other disorders of brain (G93.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G24.5","Diseases of the nervous system (G24.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.01","Disorders of autonomic nervous system (G90.01)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.0","Other disorders of brain (G93.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.6","Other disorders of brain (G93.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G91.0","Diseases of the nervous system (G91.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.5","Other disorders of brain (G93.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G95.81","Diseases of the nervous system (G95.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G31.9","Diseases of the nervous system (G31.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G37.9","Diseases of the nervous system (G37.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G95.9","Diseases of the nervous system (G95.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.9","Other disorders of brain (G93.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.9","Disorders of autonomic nervous system (G90.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G96.11","Dural tear","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G24.9","Diseases of the nervous system (G24.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.40","Other disorders of brain (G93.40)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G25.0","Other extrapyramidal and movement disorders (G25.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G25.9","Other extrapyramidal and movement disorders (G25.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.1","Disorders of autonomic nervous system (G90.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G11.9","Diseases of the nervous system (G11.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G11.4","Diseases of the nervous system (G11.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G91.9","Diseases of the nervous system (G91.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G24.4","Diseases of the nervous system (G24.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J10.81","Diseases of the respiratory system (J10.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G08","Diseases of the nervous system (G08)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.41","Other disorders of brain (G93.41)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G31.84","Diseases of the nervous system (G31.84)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G12.20","Diseases of the nervous system (G12.20)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.3","Disorders of autonomic nervous system (G90.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G99.2","Diseases of the nervous system (G99.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G25.3","Other extrapyramidal and movement disorders (G25.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G36.0","Diseases of the nervous system (G36.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G91.1","Diseases of the nervous system (G91.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G25.5","Other extrapyramidal and movement disorders (G25.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G95.29","Diseases of the nervous system (G95.29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.8","Disorders of autonomic nervous system (G90.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G64","Diseases of the nervous system (G64)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G24.8","Diseases of the nervous system (G24.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.49","Other disorders of brain (G93.49)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.09","Disorders of autonomic nervous system (G90.09)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G12.29","Diseases of the nervous system (G12.29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G31.89","Diseases of the nervous system (G31.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G95.89","Diseases of the nervous system (G95.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.89","Other disorders of brain (G93.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G25.89","Other extrapyramidal and movement disorders (G25.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G25.2","Other extrapyramidal and movement disorders (G25.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G95.19","Diseases of the nervous system (G95.19)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G13.0","Diseases of the nervous system (G13.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.3","Other disorders of brain (G93.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G23.1","Diseases of the nervous system (G23.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G25.81","Other extrapyramidal and movement disorders (G25.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G21.9","Secondary parkinsonism (G21.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G24.3","Diseases of the nervous system (G24.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G12.9","Diseases of the nervous system (G12.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G25.82","Other extrapyramidal and movement disorders (G25.82)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G95.0","Diseases of the nervous system (G95.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G93.81","Other disorders of brain (G93.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G95.20","Diseases of the nervous system (G95.20)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.811","Other disorders of arteries and arterioles (I77.811)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.819","Other disorders of arteries and arterioles (I77.819)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.3","Other disorders of arteries and arterioles (I77.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.0","Other disorders of arteries and arterioles (I77.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.4","Other disorders of arteries and arterioles (I77.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I78.9","Diseases of the circulatory system (I78.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.9","Other disorders of arteries and arterioles (I77.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I78.0","Diseases of the circulatory system (I78.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I78.1","Diseases of the circulatory system (I78.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I78.8","Diseases of the circulatory system (I78.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I99.8","Diseases of the circulatory system (I99.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.89","Other disorders of arteries and arterioles (I77.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.2","Other disorders of arteries and arterioles (I77.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.1","Other disorders of arteries and arterioles (I77.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I77.810","Other disorders of arteries and arterioles (I77.810)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I99.9","Diseases of the circulatory system (I99.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N26.1","Diseases of the genitourinary system (N26.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N13.5","Diseases of the genitourinary system (N13.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N28.1","Diseases of the genitourinary system (N28.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N28.9","Diseases of the genitourinary system (N28.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N13.1","Diseases of the genitourinary system (N13.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N13.4","Diseases of the genitourinary system (N13.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N28.81","Diseases of the genitourinary system (N28.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N28.0","Diseases of the genitourinary system (N28.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N28.82","Diseases of the genitourinary system (N28.82)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N25.1","Diseases of the genitourinary system (N25.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N13.9","Diseases of the genitourinary system (N13.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N29","Diseases of the genitourinary system (N29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N25.89","Diseases of the genitourinary system (N25.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N13.39","Diseases of the genitourinary system (N13.39)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N13.8","Diseases of the genitourinary system (N13.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N28.89","Diseases of the genitourinary system (N28.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:O26.832","Pregnancy, childbirth and the puerperium (O26.832)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:O26.833","Pregnancy, childbirth and the puerperium (O26.833)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:N25.0","Diseases of the genitourinary system (N25.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N25.81","Diseases of the genitourinary system (N25.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:A18.11","Certain infectious and parasitic diseases (A18.11)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N13.30","Diseases of the genitourinary system (N13.30)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N23","Diseases of the genitourinary system (N23)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K90.0","Intestinal malabsorption (K90.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K59.00","Other functional intestinal disorders (K59.00)","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:K92.9","Diseases of the digestive system (K92.9)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:K63.9","Diseases of the digestive system (K63.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K66.9","Diseases of the digestive system (K66.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K63.2","Diseases of the digestive system (K63.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K59.1","Other functional intestinal disorders (K59.1)","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:K59.9","Other functional intestinal disorders (K59.9)","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:K66.1","Diseases of the digestive system (K66.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K90.9","Intestinal malabsorption (K90.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K58.0","Irritable bowel syndrome (K58.0)","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K58.9","Irritable bowel syndrome (K58.9)","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K59.2","Other functional intestinal disorders (K59.2)","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:K59.09","Other functional intestinal disorders (K59.09)","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:K68.9","Diseases of the digestive system (K68.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K90.89","Intestinal malabsorption (K90.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K63.89","Diseases of the digestive system (K63.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K92.89","Diseases of the digestive system (K92.89)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:K66.8","Diseases of the digestive system (K66.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K59.8","Other functional intestinal disorders (K59.8)","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:K55.8","Diseases of the digestive system (K55.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K59.02","Other functional intestinal disorders (K59.02)","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:K66.0","Diseases of the digestive system (K66.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K59.01","Other functional intestinal disorders (K59.01)","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:K90.1","Intestinal malabsorption (K90.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K63.3","Diseases of the digestive system (K63.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K55.9","Diseases of the digestive system (K55.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D73.3","Diseases of blood and blood-forming organs and immune disorders (D73.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D73.2","Diseases of blood and blood-forming organs and immune disorders (D73.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D73.4","Diseases of blood and blood-forming organs and immune disorders (D73.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D75.9","Other and unspecified diseases of blood and blood-forming organs (D75.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D73.9","Diseases of blood and blood-forming organs and immune disorders (D73.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D75.0","Other and unspecified diseases of blood and blood-forming organs (D75.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D73.1","Diseases of blood and blood-forming organs and immune disorders (D73.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D73.0","Diseases of blood and blood-forming organs and immune disorders (D73.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D73.5","Diseases of blood and blood-forming organs and immune disorders (D73.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D75.81","Other and unspecified diseases of blood and blood-forming organs (D75.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D73.89","Diseases of blood and blood-forming organs and immune disorders (D73.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D75.89","Other and unspecified diseases of blood and blood-forming organs (D75.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D75.1","Other and unspecified diseases of blood and blood-forming organs (D75.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K70.31","Diseases of the digestive system (K70.31)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K70.30","Diseases of the digestive system (K70.30)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K70.0","Diseases of the digestive system (K70.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K70.9","Diseases of the digestive system (K70.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K76.1","Diseases of the digestive system (K76.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K76.0","Diseases of the digestive system (K76.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K76.5","Diseases of the digestive system (K76.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K76.81","Diseases of the digestive system (K76.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K76.7","Diseases of the digestive system (K76.7)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K76.3","Diseases of the digestive system (K76.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K75.9","Diseases of the digestive system (K75.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:O26.62","Pregnancy, childbirth and the puerperium (O26.62)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:O26.611","Pregnancy, childbirth and the puerperium (O26.611)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:O26.612","Pregnancy, childbirth and the puerperium (O26.612)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:O26.613","Pregnancy, childbirth and the puerperium (O26.613)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:O26.619","Pregnancy, childbirth and the puerperium (O26.619)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K76.9","Diseases of the digestive system (K76.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K74.69","Fibrosis and cirrhosis of liver (K74.69)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K76.89","Diseases of the digestive system (K76.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K75.89","Diseases of the digestive system (K75.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K75.1","Diseases of the digestive system (K75.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K76.6","Diseases of the digestive system (K76.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K74.3","Fibrosis and cirrhosis of liver (K74.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K71.0","Diseases of the digestive system (K71.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K71.9","Diseases of the digestive system (K71.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K74.60","Fibrosis and cirrhosis of liver (K74.60)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J85.2","Diseases of the respiratory system (J85.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J98.01","Diseases of the respiratory system (J98.01)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.114","Diseases of the respiratory system (J84.114)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J81.0","Diseases of the respiratory system (J81.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.82","Diseases of the respiratory system (J84.82)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J81.1","Diseases of the respiratory system (J81.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.116","Diseases of the respiratory system (J84.116)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J98.6","Diseases of the respiratory system (J98.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.111","Diseases of the respiratory system (J84.111)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.112","Diseases of the respiratory system (J84.112)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.9","Diseases of the respiratory system (J84.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.81","Diseases of the respiratory system (J84.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.09","Diseases of the respiratory system (J84.09)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J98.09","Diseases of the respiratory system (J98.09)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J98.4","Diseases of the respiratory system (J98.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
