Unnamed: 0,concept_cd,ICD_Description,Long_COVID_Likelihood_Speculative,Explanation_Speculative,Chronic_Status,Chronic_Explanation
1016,ICD10:J10.81,Diseases of the respiratory system (J10.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1017,ICD10:G08,Diseases of the nervous system (G08),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1018,ICD10:G93.41,Other disorders of brain (G93.41),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1019,ICD10:G31.84,Diseases of the nervous system (G31.84),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1020,ICD10:G12.20,Diseases of the nervous system (G12.20),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1021,ICD10:G90.3,Disorders of autonomic nervous system (G90.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1022,ICD10:G99.2,Diseases of the nervous system (G99.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1023,ICD10:G25.3,Other extrapyramidal and movement disorders (G25.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1024,ICD10:G36.0,Diseases of the nervous system (G36.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1025,ICD10:G91.1,Diseases of the nervous system (G91.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1026,ICD10:G25.5,Other extrapyramidal and movement disorders (G25.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1027,ICD10:G95.29,Diseases of the nervous system (G95.29),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1028,ICD10:G90.8,Disorders of autonomic nervous system (G90.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1029,ICD10:G64,Diseases of the nervous system (G64),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1030,ICD10:G24.8,Diseases of the nervous system (G24.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1031,ICD10:G93.49,Other disorders of brain (G93.49),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1032,ICD10:G90.09,Disorders of autonomic nervous system (G90.09),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1033,ICD10:G12.29,Diseases of the nervous system (G12.29),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1034,ICD10:G31.89,Diseases of the nervous system (G31.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1035,ICD10:G95.89,Diseases of the nervous system (G95.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1036,ICD10:G93.89,Other disorders of brain (G93.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1037,ICD10:G25.89,Other extrapyramidal and movement disorders (G25.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1038,ICD10:G25.2,Other extrapyramidal and movement disorders (G25.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1039,ICD10:G95.19,Diseases of the nervous system (G95.19),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1040,ICD10:G13.0,Diseases of the nervous system (G13.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1041,ICD10:G93.3,Other disorders of brain (G93.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1042,ICD10:G23.1,Diseases of the nervous system (G23.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1043,ICD10:G25.81,Other extrapyramidal and movement disorders (G25.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1044,ICD10:G21.9,Secondary parkinsonism (G21.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1045,ICD10:G24.3,Diseases of the nervous system (G24.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1046,ICD10:G12.9,Diseases of the nervous system (G12.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1047,ICD10:G25.82,Other extrapyramidal and movement disorders (G25.82),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1048,ICD10:G95.0,Diseases of the nervous system (G95.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1049,ICD10:G93.81,Other disorders of brain (G93.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1050,ICD10:G95.20,Diseases of the nervous system (G95.20),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1051,ICD10:I77.811,Other disorders of arteries and arterioles (I77.811),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1052,ICD10:I77.819,Other disorders of arteries and arterioles (I77.819),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1053,ICD10:I77.3,Other disorders of arteries and arterioles (I77.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1054,ICD10:I77.0,Other disorders of arteries and arterioles (I77.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1055,ICD10:I77.4,Other disorders of arteries and arterioles (I77.4),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1056,ICD10:I78.9,Diseases of the circulatory system (I78.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1057,ICD10:I77.9,Other disorders of arteries and arterioles (I77.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1058,ICD10:I78.0,Diseases of the circulatory system (I78.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1059,ICD10:I78.1,Diseases of the circulatory system (I78.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1060,ICD10:I78.8,Diseases of the circulatory system (I78.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1061,ICD10:I99.8,Diseases of the circulatory system (I99.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1062,ICD10:I77.89,Other disorders of arteries and arterioles (I77.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1063,ICD10:I77.2,Other disorders of arteries and arterioles (I77.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1064,ICD10:I77.1,Other disorders of arteries and arterioles (I77.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1065,ICD10:I77.810,Other disorders of arteries and arterioles (I77.810),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1066,ICD10:I99.9,Diseases of the circulatory system (I99.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1067,ICD10:N26.1,Diseases of the genitourinary system (N26.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1068,ICD10:N13.5,Diseases of the genitourinary system (N13.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1069,ICD10:N28.1,Diseases of the genitourinary system (N28.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1070,ICD10:N28.9,Diseases of the genitourinary system (N28.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1071,ICD10:N13.1,Diseases of the genitourinary system (N13.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1072,ICD10:N13.4,Diseases of the genitourinary system (N13.4),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1073,ICD10:N28.81,Diseases of the genitourinary system (N28.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1074,ICD10:N28.0,Diseases of the genitourinary system (N28.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1075,ICD10:N28.82,Diseases of the genitourinary system (N28.82),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1076,ICD10:N25.1,Diseases of the genitourinary system (N25.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1077,ICD10:N13.9,Diseases of the genitourinary system (N13.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1078,ICD10:N29,Diseases of the genitourinary system (N29),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1079,ICD10:N25.89,Diseases of the genitourinary system (N25.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1080,ICD10:N13.39,Diseases of the genitourinary system (N13.39),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1081,ICD10:N13.8,Diseases of the genitourinary system (N13.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1082,ICD10:N28.89,Diseases of the genitourinary system (N28.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1083,ICD10:O26.832,"Pregnancy, childbirth and the puerperium (O26.832)",Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
1084,ICD10:O26.833,"Pregnancy, childbirth and the puerperium (O26.833)",Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
1085,ICD10:N25.0,Diseases of the genitourinary system (N25.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1086,ICD10:N25.81,Diseases of the genitourinary system (N25.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1087,ICD10:A18.11,Certain infectious and parasitic diseases (A18.11),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1088,ICD10:N13.30,Diseases of the genitourinary system (N13.30),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1089,ICD10:N23,Diseases of the genitourinary system (N23),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1090,ICD10:K90.0,Intestinal malabsorption (K90.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1091,ICD10:K59.00,Other functional intestinal disorders (K59.00),Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
1092,ICD10:K92.9,Diseases of the digestive system (K92.9),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
1093,ICD10:K63.9,Diseases of the digestive system (K63.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1094,ICD10:K66.9,Diseases of the digestive system (K66.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1095,ICD10:K63.2,Diseases of the digestive system (K63.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1096,ICD10:K59.1,Other functional intestinal disorders (K59.1),Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
1097,ICD10:K59.9,Other functional intestinal disorders (K59.9),Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
1098,ICD10:K66.1,Diseases of the digestive system (K66.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1099,ICD10:K90.9,Intestinal malabsorption (K90.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1100,ICD10:K58.0,Irritable bowel syndrome (K58.0),Low,Possible association based on systemic inflammation patterns,Chronic,Inherently chronic condition or long-term management required
1101,ICD10:K58.9,Irritable bowel syndrome (K58.9),Low,Possible association based on systemic inflammation patterns,Chronic,Inherently chronic condition or long-term management required
1102,ICD10:K59.2,Other functional intestinal disorders (K59.2),Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
1103,ICD10:K59.09,Other functional intestinal disorders (K59.09),Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
1104,ICD10:K68.9,Diseases of the digestive system (K68.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1105,ICD10:K90.89,Intestinal malabsorption (K90.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1106,ICD10:K63.89,Diseases of the digestive system (K63.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1107,ICD10:K92.89,Diseases of the digestive system (K92.89),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
1108,ICD10:K66.8,Diseases of the digestive system (K66.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1109,ICD10:K59.8,Other functional intestinal disorders (K59.8),Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
1110,ICD10:K55.8,Diseases of the digestive system (K55.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1111,ICD10:K59.02,Other functional intestinal disorders (K59.02),Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
1112,ICD10:K66.0,Diseases of the digestive system (K66.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1113,ICD10:K59.01,Other functional intestinal disorders (K59.01),Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
1114,ICD10:K90.1,Intestinal malabsorption (K90.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1115,ICD10:K63.3,Diseases of the digestive system (K63.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1116,ICD10:K55.9,Diseases of the digestive system (K55.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1117,ICD10:D73.3,Diseases of blood and blood-forming organs and immune disorders (D73.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1118,ICD10:D73.2,Diseases of blood and blood-forming organs and immune disorders (D73.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1119,ICD10:D73.4,Diseases of blood and blood-forming organs and immune disorders (D73.4),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1120,ICD10:D75.9,Other and unspecified diseases of blood and blood-forming organs (D75.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1121,ICD10:D73.9,Diseases of blood and blood-forming organs and immune disorders (D73.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1122,ICD10:D75.0,Other and unspecified diseases of blood and blood-forming organs (D75.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1123,ICD10:D73.1,Diseases of blood and blood-forming organs and immune disorders (D73.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1124,ICD10:D73.0,Diseases of blood and blood-forming organs and immune disorders (D73.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1125,ICD10:D73.5,Diseases of blood and blood-forming organs and immune disorders (D73.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1126,ICD10:D75.81,Other and unspecified diseases of blood and blood-forming organs (D75.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1127,ICD10:D73.89,Diseases of blood and blood-forming organs and immune disorders (D73.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1128,ICD10:D75.89,Other and unspecified diseases of blood and blood-forming organs (D75.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1129,ICD10:D75.1,Other and unspecified diseases of blood and blood-forming organs (D75.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1130,ICD10:K70.31,Diseases of the digestive system (K70.31),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1131,ICD10:K70.30,Diseases of the digestive system (K70.30),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1132,ICD10:K70.0,Diseases of the digestive system (K70.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1133,ICD10:K70.9,Diseases of the digestive system (K70.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1134,ICD10:K76.1,Diseases of the digestive system (K76.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1135,ICD10:K76.0,Diseases of the digestive system (K76.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1136,ICD10:K76.5,Diseases of the digestive system (K76.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1137,ICD10:K76.81,Diseases of the digestive system (K76.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1138,ICD10:K76.7,Diseases of the digestive system (K76.7),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1139,ICD10:K76.3,Diseases of the digestive system (K76.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1140,ICD10:K75.9,Diseases of the digestive system (K75.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1141,ICD10:O26.62,"Pregnancy, childbirth and the puerperium (O26.62)",Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
1142,ICD10:O26.611,"Pregnancy, childbirth and the puerperium (O26.611)",Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
1143,ICD10:O26.612,"Pregnancy, childbirth and the puerperium (O26.612)",Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
1144,ICD10:O26.613,"Pregnancy, childbirth and the puerperium (O26.613)",Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
1145,ICD10:O26.619,"Pregnancy, childbirth and the puerperium (O26.619)",Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
1146,ICD10:K76.9,Diseases of the digestive system (K76.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1147,ICD10:K74.69,Fibrosis and cirrhosis of liver (K74.69),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1148,ICD10:K76.89,Diseases of the digestive system (K76.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1149,ICD10:K75.89,Diseases of the digestive system (K75.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1150,ICD10:K75.1,Diseases of the digestive system (K75.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1151,ICD10:K76.6,Diseases of the digestive system (K76.6),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1152,ICD10:K74.3,Fibrosis and cirrhosis of liver (K74.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1153,ICD10:K71.0,Diseases of the digestive system (K71.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1154,ICD10:K71.9,Diseases of the digestive system (K71.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1155,ICD10:K74.60,Fibrosis and cirrhosis of liver (K74.60),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1156,ICD10:J85.2,Diseases of the respiratory system (J85.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1157,ICD10:J98.01,Diseases of the respiratory system (J98.01),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1158,ICD10:J84.114,Diseases of the respiratory system (J84.114),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1159,ICD10:J81.0,Diseases of the respiratory system (J81.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1160,ICD10:J84.82,Diseases of the respiratory system (J84.82),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1161,ICD10:J81.1,Diseases of the respiratory system (J81.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1162,ICD10:J84.116,Diseases of the respiratory system (J84.116),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1163,ICD10:J98.6,Diseases of the respiratory system (J98.6),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1164,ICD10:J84.111,Diseases of the respiratory system (J84.111),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1165,ICD10:J84.112,Diseases of the respiratory system (J84.112),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1166,ICD10:J84.9,Diseases of the respiratory system (J84.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1167,ICD10:J84.81,Diseases of the respiratory system (J84.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1168,ICD10:J84.09,Diseases of the respiratory system (J84.09),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1169,ICD10:J98.09,Diseases of the respiratory system (J98.09),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1170,ICD10:J98.4,Diseases of the respiratory system (J98.4),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1171,ICD10:J84.89,Diseases of the respiratory system (J84.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1172,ICD10:J98.8,Diseases of the respiratory system (J98.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1173,ICD10:J84.10,Diseases of the respiratory system (J84.10),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1174,ICD10:J84.115,Diseases of the respiratory system (J84.115),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1175,ICD10:J98.9,Diseases of the respiratory system (J98.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1176,ICD10:J99,Diseases of the respiratory system (J99),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1177,ICD10:J22,Diseases of the respiratory system (J22),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1178,ICD10:F06.30,Other mental disorders due to known physiological condition (F06.30),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1179,ICD10:F34.9,"Mental, behavioral and neurodevelopmental disorders (F34.9)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1180,ICD10:F39,"Mental, behavioral and neurodevelopmental disorders (F39)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1181,29690,Unknown category (29690),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1182,ICD10:L83,Diseases of the skin and subcutaneous tissue (L83),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1183,ICD10:L73.0,Diseases of the skin and subcutaneous tissue (L73.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1184,ICD10:L85.1,Diseases of the skin and subcutaneous tissue (L85.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1185,ICD10:L57.0,Diseases of the skin and subcutaneous tissue (L57.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1186,ICD10:L63.9,Diseases of the skin and subcutaneous tissue (L63.9),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
1187,ICD10:L64.9,Diseases of the skin and subcutaneous tissue (L64.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1188,ICD10:L90.9,Atrophic disorders of skin (L90.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1189,ICD10:L60.4,Diseases of the skin and subcutaneous tissue (L60.4),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1190,ICD10:L75.0,Diseases of the skin and subcutaneous tissue (L75.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1191,ICD10:L81.3,Diseases of the skin and subcutaneous tissue (L81.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1192,ICD10:L94.2,Other localized connective tissue disorders (L94.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1193,ICD10:L81.1,Diseases of the skin and subcutaneous tissue (L81.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1194,ICD10:L66.9,Diseases of the skin and subcutaneous tissue (L66.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1195,ICD10:L84,Diseases of the skin and subcutaneous tissue (L84),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1196,ICD10:L57.4,Diseases of the skin and subcutaneous tissue (L57.4),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1197,ICD10:L81.9,Diseases of the skin and subcutaneous tissue (L81.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1198,ICD10:L98.9,"Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98.9)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1199,ICD10:L56.5,Diseases of the skin and subcutaneous tissue (L56.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1200,ICD10:L30.1,Diseases of the skin and subcutaneous tissue (L30.1),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
1201,ICD10:L74.9,Eccrine sweat disorders (L74.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1202,ICD10:L72.0,Follicular cysts of skin and subcutaneous tissue (L72.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1203,ICD10:L85.9,Diseases of the skin and subcutaneous tissue (L85.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1204,ICD10:L72.9,Follicular cysts of skin and subcutaneous tissue (L72.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1205,ICD10:L73.9,Diseases of the skin and subcutaneous tissue (L73.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1206,ICD10:L92.3,Diseases of the skin and subcutaneous tissue (L92.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1207,ICD10:L81.2,Diseases of the skin and subcutaneous tissue (L81.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1208,ICD10:L92.2,Diseases of the skin and subcutaneous tissue (L92.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1209,ICD10:L92.9,Diseases of the skin and subcutaneous tissue (L92.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1210,ICD10:L68.0,Diseases of the skin and subcutaneous tissue (L68.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1211,ICD10:L68.9,Diseases of the skin and subcutaneous tissue (L68.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1212,ICD10:L91.9,Diseases of the skin and subcutaneous tissue (L91.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1213,ICD10:L91.0,Diseases of the skin and subcutaneous tissue (L91.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1214,ICD10:L82.0,Diseases of the skin and subcutaneous tissue (L82.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1215,ICD10:L60.0,Diseases of the skin and subcutaneous tissue (L60.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1216,ICD10:L90.0,Atrophic disorders of skin (L90.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1217,ICD10:L94.0,Other localized connective tissue disorders (L94.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1218,ICD10:L74.0,Eccrine sweat disorders (L74.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1219,ICD10:L60.9,Diseases of the skin and subcutaneous tissue (L60.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1220,ICD10:L60.3,Diseases of the skin and subcutaneous tissue (L60.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1221,ICD10:L65.9,Diseases of the skin and subcutaneous tissue (L65.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1222,ICD10:L60.2,Diseases of the skin and subcutaneous tissue (L60.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1223,ICD10:L60.1,Diseases of the skin and subcutaneous tissue (L60.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
1224,ICD10:L64.8,Diseases of the skin and subcutaneous tissue (L64.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
